03/23/2026-21:56:45.467518  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:02:00.443212  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:07:23.622690  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:12:31.132207  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:17:31.165766  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:22:37.965164  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:27:40.870943  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:33:09.989808  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:38:35.216099  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:43:37.196731  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:49:05.289482  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:54:13.822005  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-22:59:26.244474  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
03/23/2026-23:04:27.198853  [**] [1:2027397:1] ET POLICY Spotify P2P Client [**] [Classification: Not Suspicious Traffic] [Priority: 3] {UDP} 192.168.1.10:57621 -> 192.168.1.255:57621
